-50000.00 0.00 55559.75 4850.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 2880.00 1504.5216  1041.1164 34.6749 1.4954
-50000.00 2890.00 1504.6791  1041.1625 34.6751 1.4909
-50000.00 2900.00 1504.8366  1041.2086 34.6754 1.4865
-50000.00 2910.00 1504.9941  1041.2547 34.6756 1.4820
-50000.00 2920.00 1505.1515  1041.3008 34.6758 1.4776
-50000.00 2930.00 1505.3090  1041.3469 34.6761 1.4731
-50000.00 2940.00 1505.4665  1041.3930 34.6763 1.4687
-50000.00 2950.00 1505.6240  1041.4392 34.6766 1.4642
-50000.00 2960.00 1505.7814  1041.4853 34.6768 1.4598
-50000.00 2970.00 1505.9389  1041.5314 34.6770 1.4553
-50000.00 2980.00 1506.0964  1041.5775 34.6773 1.4509
-50000.00 2990.00 1506.2539  1041.6236 34.6775 1.4464
-50000.00 3000.00 1506.4147  1041.6694 34.6777 1.4425
-50000.00 3010.00 1506.5755  1041.7152 34.6779 1.4386
-50000.00 3020.00 1506.7364  1041.7611 34.6781 1.4346
-50000.00 3030.00 1506.8973  1041.8069 34.6783 1.4307
-50000.00 3040.00 1507.0582  1041.8527 34.6785 1.4268
-50000.00 3050.00 1507.2190  1041.8985 34.6787 1.4228
-50000.00 3060.00 1507.3799  1041.9444 34.6789 1.4189
-50000.00 3070.00 1507.5408  1041.9902 34.6791 1.4150
-50000.00 3080.00 1507.7016  1042.0360 34.6793 1.4111
-50000.00 3090.00 1507.8625  1042.0819 34.6795 1.4071
-50000.00 3100.00 1508.0234  1042.1277 34.6797 1.4032
-50000.00 3110.00 1508.1843  1042.1735 34.6799 1.3993
-50000.00 3120.00 1508.3451  1042.2193 34.6801 1.3953
-50000.00 3130.00 1508.5060  1042.2652 34.6803 1.3914
-50000.00 3140.00 1508.6669  1042.3110 34.6805 1.3875
-50000.00 3150.00 1508.8278  1042.3568 34.6807 1.3835
-50000.00 3160.00 1508.9886  1042.4027 34.6809 1.3796
-50000.00 3170.00 1509.1495  1042.4485 34.6811 1.3757
-50000.00 3180.00 1509.3104  1042.4943 34.6813 1.3717
-50000.00 3190.00 1509.4712  1042.5401 34.6815 1.3678
-50000.00 3200.00 1509.6321  1042.5860 34.6817 1.3639
-50000.00 3210.00 1509.7930  1042.6318 34.6819 1.3600
-50000.00 3220.00 1509.9539  1042.6776 34.6821 1.3560
-50000.00 3230.00 1510.1147  1042.7235 34.6823 1.3521
-50000.00 3240.00 1510.2756  1042.7693 34.6825 1.3482
-50000.00 3250.00 1510.4365  1042.8151 34.6827 1.3442
-50000.00 3260.00 1510.5974  1042.8609 34.6829 1.3403
-50000.00 3270.00 1510.7582  1042.9068 34.6831 1.3364
-50000.00 3280.00 1510.9205  1042.9525 34.6833 1.3326
-50000.00 3290.00 1511.0837  1042.9981 34.6835 1.3289
-50000.00 3300.00 1511.2470  1043.0437 34.6836 1.3252
-50000.00 3310.00 1511.4102  1043.0893 34.6838 1.3216
-50000.00 3320.00 1511.5735  1043.1349 34.6840 1.3179
-50000.00 3330.00 1511.7367  1043.1805 34.6842 1.3142
-50000.00 3340.00 1511.9000  1043.2261 34.6844 1.3105
-50000.00 3350.00 1512.0632  1043.2717 34.6846 1.3069
-50000.00 3360.00 1512.2264  1043.3173 34.6848 1.3032
-50000.00 3370.00 1512.3897  1043.3629 34.6850 1.2995
-50000.00 3380.00 1512.5529  1043.4085 34.6852 1.2959
-50000.00 3390.00 1512.7162  1043.4541 34.6854 1.2922
-50000.00 3400.00 1512.8794  1043.4997 34.6856 1.2885
-50000.00 3410.00 1513.0427  1043.5453 34.6858 1.2848
-50000.00 3420.00 1513.2059  1043.5909 34.6860 1.2812
-50000.00 3430.00 1513.3692  1043.6365 34.6862 1.2775
-50000.00 3440.00 1513.5324  1043.6821 34.6864 1.2738
-50000.00 3450.00 1513.6957  1043.7277 34.6866 1.2701
-50000.00 3460.00 1513.8589  1043.7733 34.6867 1.2665
-50000.00 3470.00 1514.0222  1043.8189 34.6869 1.2628
-50000.00 3480.00 1514.1854  1043.8645 34.6871 1.2591
-50000.00 3490.00 1514.3487  1043.9101 34.6873 1.2554
-50000.00 3500.00 1514.5119  1043.9557 34.6875 1.2518
-50000.00 3510.00 1514.6752  1044.0013 34.6877 1.2481
-50000.00 3520.00 1514.8384  1044.0469 34.6879 1.2444
-50000.00 3530.00 1515.0017  1044.0925 34.6881 1.2408
-50000.00 3540.00 1515.1649  1044.1381 34.6883 1.2371
-50000.00 3550.00 1515.3282  1044.1838 34.6885 1.2334
-50000.00 3560.00 1515.4914  1044.2294 34.6887 1.2297
-50000.00 3570.00 1515.6546  1044.2750 34.6889 1.2261
-50000.00 3580.00 1515.8179  1044.3206 34.6891 1.2224
-50000.00 3590.00 1515.9823  1044.3660 34.6893 1.2187
-50000.00 3600.00 1516.1468  1044.4114 34.6895 1.2150
-50000.00 3610.00 1516.3114  1044.4568 34.6897 1.2114
-50000.00 3620.00 1516.4759  1044.5023 34.6899 1.2077
-50000.00 3630.00 1516.6405  1044.5477 34.6901 1.2040
-50000.00 3640.00 1516.8050  1044.5931 34.6903 1.2003
-50000.00 3650.00 1516.9696  1044.6385 34.6905 1.1966
-50000.00 3660.00 1517.1341  1044.6839 34.6908 1.1930
-50000.00 3670.00 1517.2987  1044.7294 34.6910 1.1893
-50000.00 3680.00 1517.4632  1044.7748 34.6912 1.1856
-50000.00 3690.00 1517.6278  1044.8202 34.6914 1.1819
-50000.00 3700.00 1517.7923  1044.8656 34.6916 1.1783
-50000.00 3710.00 1517.9569  1044.9110 34.6918 1.1746
-50000.00 3720.00 1518.1214  1044.9565 34.6920 1.1709
-50000.00 3730.00 1518.2860  1045.0019 34.6922 1.1672
-50000.00 3740.00 1518.4505  1045.0473 34.6924 1.1635
-50000.00 3750.00 1518.6151  1045.0927 34.6926 1.1599
-50000.00 3760.00 1518.7796  1045.1381 34.6929 1.1562
-50000.00 3770.00 1518.9442  1045.1835 34.6931 1.1525
-50000.00 3780.00 1519.1087  1045.2290 34.6933 1.1488
-50000.00 3790.00 1519.2733  1045.2744 34.6935 1.1452
-50000.00 3800.00 1519.4378  1045.3198 34.6937 1.1415
-50000.00 3810.00 1519.6024  1045.3652 34.6939 1.1378
-50000.00 3820.00 1519.7669  1045.4106 34.6941 1.1341
-50000.00 3830.00 1519.9315  1045.4561 34.6943 1.1304
-50000.00 3840.00 1520.0960  1045.5015 34.6945 1.1268
-50000.00 3850.00 1520.2606  1045.5469 34.6947 1.1231
-50000.00 3860.00 1520.4251  1045.5923 34.6950 1.1194
-50000.00 3870.00 1520.5897  1045.6377 34.6952 1.1157
-50000.00 3880.00 1520.7542  1045.6832 34.6954 1.1121
-50000.00 3890.00 1520.9188  1045.7286 34.6956 1.1084
-50000.00 3900.00 1521.0833  1045.7740 34.6958 1.1047
-50000.00 3910.00 1521.2479  1045.8194 34.6960 1.1010
-50000.00 3920.00 1521.4138  1045.8646 34.6962 1.0974
-50000.00 3930.00 1521.5800  1045.9098 34.6964 1.0938
-50000.00 3940.00 1521.7461  1045.9550 34.6967 1.0901
-50000.00 3950.00 1521.9123  1046.0002 34.6969 1.0865
-50000.00 3960.00 1522.0784  1046.0455 34.6971 1.0829
-50000.00 3970.00 1522.2446  1046.0907 34.6973 1.0793
-50000.00 3980.00 1522.4107  1046.1359 34.6975 1.0756
-50000.00 3990.00 1522.5769  1046.1811 34.6977 1.0720
-50000.00 4000.00 1522.7431  1046.2263 34.6979 1.0684
-50000.00 4010.00 1522.9092  1046.2715 34.6982 1.0648
-50000.00 4020.00 1523.0754  1046.3167 34.6984 1.0611
-50000.00 4030.00 1523.2415  1046.3619 34.6986 1.0575
-50000.00 4040.00 1523.4077  1046.4071 34.6988 1.0539
-50000.00 4050.00 1523.5738  1046.4523 34.6990 1.0503
-50000.00 4060.00 1523.7400  1046.4975 34.6992 1.0466
-50000.00 4070.00 1523.9061  1046.5427 34.6995 1.0430
-50000.00 4080.00 1524.0723  1046.5879 34.6997 1.0394
-50000.00 4090.00 1524.2384  1046.6331 34.6999 1.0358
-50000.00 4100.00 1524.4046  1046.6783 34.7001 1.0321
-50000.00 4110.00 1524.5708  1046.7235 34.7003 1.0285
-50000.00 4120.00 1524.7369  1046.7687 34.7005 1.0249
-50000.00 4130.00 1524.9031  1046.8139 34.7008 1.0213
-50000.00 4140.00 1525.0692  1046.8591 34.7010 1.0176
-50000.00 4150.00 1525.2354  1046.9043 34.7012 1.0140
-50000.00 4160.00 1525.4015  1046.9495 34.7014 1.0104
-50000.00 4170.00 1525.5677  1046.9947 34.7016 1.0068
-50000.00 4180.00 1525.7338  1047.0399 34.7018 1.0031
-50000.00 4190.00 1525.9000  1047.0851 34.7020 0.9995
-50000.00 4200.00 1526.0661  1047.1303 34.7023 0.9959
-50000.00 4210.00 1526.2323  1047.1755 34.7025 0.9922
